insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 101, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 161, 'Technology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 140, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 180, 'Technology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 78, 'Technology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 90, 'Consumer Services', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 139, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 151, 'Public Utilities', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 32, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 49, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (11, 142, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 126, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 173, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 195, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 161, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 145, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 53, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 79, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 133, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 106, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 32, 'Transportation', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 156, 'Energy', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 197, 'Consumer Services', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (17, 80, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 49, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 58, 'Technology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 5, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 121, 'Health Care', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 56, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 169, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 98, 'Health Care', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 127, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 6, 'Transportation', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (8, 6, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 129, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 150, 'Basic Industries', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 152, 'Capital Goods', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 174, 'Consumer Durables', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 149, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 122, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 2, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 192, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 5, 'Health Care', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 180, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 117, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (22, 164, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 170, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (22, 41, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (22, 159, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (11, 147, 'Consumer Non-Durables', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 86, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 135, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 55, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 90, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 145, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 116, 'Consumer Non-Durables', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 42, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (8, 117, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 107, 'Health Care', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 50, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 51, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 74, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 72, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 191, 'Capital Goods', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 147, 'Public Utilities', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 98, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 105, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 54, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 152, 'Consumer Non-Durables', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 132, 'Capital Goods', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 170, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 153, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 135, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (14, 198, 'Miscellaneous', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 98, 'Health Care', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (22, 197, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 177, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 61, 'Basic Industries', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (17, 29, 'Miscellaneous', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 16, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 58, 'Consumer Durables', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 160, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 14, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 200, 'Transportation', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (14, 145, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 8, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 120, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 94, 'Public Utilities', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 110, 'Consumer Non-Durables', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 172, 'Energy', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 82, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 168, 'Basic Industries', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 101, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (8, 43, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 67, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 26, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 176, 'Health Care', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 126, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 41, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 74, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (17, 78, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 71, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 114, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 83, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 97, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 120, 'Energy', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 52, 'Technology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 198, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 34, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 159, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (14, 47, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 51, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (17, 77, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 138, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (22, 62, 'Sociology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 101, 'Public Utilities', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 73, 'Basic Industries', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 174, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 130, 'Basic Industries', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 163, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 179, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 80, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (8, 42, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 120, 'Energy', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 32, 'Technology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 164, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 162, 'Consumer Services', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 2, 'Capital Goods', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 117, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 163, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (11, 98, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 82, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 159, 'Technology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 135, 'Health Care', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 127, 'Technology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 50, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 56, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 137, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 172, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 83, 'Consumer Durables', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 101, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 34, 'Consumer Services', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 168, 'Transportation', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (14, 188, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 145, 'Basic Industries', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 184, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 184, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 94, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 90, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 126, 'Capital Goods', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 86, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 102, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 24, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 147, 'Technology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 161, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 100, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (8, 114, 'Capital Goods', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 12, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (6, 122, 'Sociology', 4);
